alpha,T_max,T_esp,T_scale
1.000000,0.990000,1.000000,0.760063
0.800000,0.100000,2.377295,0.010000
0.800000,0.100000,0.273544,0.010000
0.800000,0.000000,0.000000,0.010000
0.800000,0.000000,0.000000,0.010000
0.800000,0.000000,0.062013,0.037819
0.800000,0.000000,0.018049,0.036563
0.800000,0.000000,0.000000,0.043285
0.800000,0.000000,0.000000,0.015668
0.800000,0.000000,0.031926,0.010000
0.800000,0.000000,0.000000,0.010000
0.800000,0.000000,0.000000,0.010000
