alpha,T_max,T_esp,T_scale
1.000000,0.990000,1.000000,0.791110
0.800000,0.100000,2.377347,0.010000
0.800000,0.100000,0.280069,0.010000
0.800000,0.000000,0.015031,0.034501
0.800000,0.000000,0.050121,0.039858
0.800000,0.053768,0.079706,0.110389
0.800000,0.000000,0.034499,0.100204
0.800000,0.035182,0.000000,0.161339
0.800000,0.000000,0.058814,0.074170
0.800000,0.035151,0.083480,0.048306
0.800000,0.000000,0.018509,0.010000
0.800000,0.000000,0.000000,0.010000
