alpha,T_max,T_esp,T_scale
1.000000,0.990000,1.000000,0.781464
0.800000,0.100000,2.377306,0.010000
0.800000,0.100000,0.277446,0.010000
0.800000,0.000000,0.000000,0.029877
0.800000,0.000000,0.000000,0.020546
0.800000,0.000000,0.068106,0.099911
0.800000,0.000000,0.020077,0.067053
0.800000,0.000000,0.000000,0.052630
0.800000,0.000000,0.000000,0.019814
0.800000,0.030243,0.076117,0.010000
0.800000,0.000000,0.000000,0.010000
0.800000,0.000000,0.000000,0.010000
