alpha,T_max,T_esp,T_scale
1.000000,0.990000,1.000000,0.781843
0.800000,0.100000,2.377306,0.010000
0.800000,0.100000,0.276182,0.010000
0.800000,0.000000,0.000000,0.029884
0.800000,0.000000,0.000000,0.036883
0.800000,0.000000,0.068008,0.094989
0.800000,0.000000,0.018398,0.069433
0.800000,0.000000,0.000000,0.049830
0.800000,0.000000,0.000000,0.020276
0.800000,0.033766,0.081262,0.010000
0.800000,0.000000,0.000000,0.010000
0.800000,0.000000,0.000000,0.010000
