alpha,T_max,T_esp,T_scale
1.000000,0.990000,1.000000,0.781455
0.800000,0.100000,2.377306,0.010000
0.800000,0.100000,0.277412,0.010000
0.800000,0.000000,0.000705,0.028151
0.800000,0.000000,0.014519,0.022464
0.800000,0.002478,0.069209,0.097665
0.800000,0.000000,0.022147,0.063174
0.800000,0.007191,0.000000,0.066328
0.800000,0.000000,0.005425,0.025498
0.800000,0.025770,0.069162,0.015171
0.800000,0.000000,0.002772,0.010000
0.800000,0.000000,0.000000,0.010000
